txn_ref,proposed_bank_ids,matcher_method,matcher_confidence,verifier_verdict,verifier_confidence,reason,escalated_to_llm
TXN100269,BNK00278,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100270,BNK00279,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100271,BNK00280,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100272,BNK00281,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100273,BNK00282,llm-stub,0.8,RECONCILED,0.97,Rs.1.75 gap fully explainable by standard fee/tax/refund rounding.,False
TXN100274,BNK00283,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100275,BNK00284,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100276,BNK00285,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100277,BNK00286,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100278,BNK00287,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100279,BNK00288,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100280,BNK00289,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100281,BNK00290,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100282,BNK00291,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100283,BNK00292,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100284,BNK00293,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100286,BNK00295,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100287,BNK00296,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100288,BNK00297,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100289,BNK00298,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100290,BNK00299,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100291,BNK00300,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100292,BNK00301,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100293,BNK00302,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100294,BNK00303,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100295,BNK00304,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100296,BNK00305,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100297,BNK00306,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100298,BNK00307,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100301,BNK00310,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100302,BNK00311,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100303,BNK00312,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100304,BNK00313,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100305,BNK00314,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100306,BNK00315,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100308,BNK00317,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100311,BNK00320,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100312,BNK00321,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100313,BNK00322,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100314,BNK00323,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100316,BNK00325,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100317,BNK00326,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100318,BNK00327,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100319,BNK00328,llm-stub,0.8,RECONCILED,0.97,Rs.2.36 gap fully explainable by standard fee/tax/refund rounding.,False
TXN100322,BNK00330,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100324,BNK00332,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100325,BNK00333,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100326,BNK00334,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100327,BNK00335,llm-stub,0.8,RECONCILED,0.97,Rs.2.93 gap fully explainable by standard fee/tax/refund rounding.,False
TXN100328,BNK00336,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100330,BNK00338,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100331,BNK00339,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100332,BNK00340,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100333,BNK00341,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100336,BNK00344,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100337,BNK00345,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100338,BNK00346,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100339,BNK00347,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100340,BNK00348,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100341,BNK00349,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100342,BNK00350,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100343,BNK00351,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100344,BNK00352,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100347,BNK00356,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100348,BNK00357,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100349,BNK00358,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100350,BNK00359;BNK00360,llm-stub,0.7,RECONCILED,0.97,"Amount matches net_amount within Rs.1.0 tolerance.; Split across 2 bank rows, within policy limit - sum already checked in amount rule.",False
TXN100351,BNK00361,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100352,BNK00362,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100353,BNK00363,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100355,BNK00364,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100357,BNK00367,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100358,BNK00368,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100359,BNK00369,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100360,BNK00370,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100361,BNK00371,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100362,BNK00372,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100363,BNK00373,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100364,BNK00374,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100365,BNK00375,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100366,BNK00376,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100367,BNK00377,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100368,BNK00378,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100369,BNK00379,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100370,BNK00380,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100371,BNK00381,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100372,BNK00382,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100373,BNK00383,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100374,BNK00384,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100375,BNK00385,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100376,BNK00386,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100377,BNK00387,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100378,BNK00388,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100379,BNK00389,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100380,BNK00390,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100381,BNK00391,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100382,BNK00392,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100383,BNK00393,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100384,BNK00394,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100385,BNK00395,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100386,BNK00396,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100387,BNK00397,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100388,BNK00398,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100389,BNK00399,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100391,BNK00401,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100392,BNK00402,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100393,BNK00403,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100394,BNK00404,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100395,BNK00405,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100396,BNK00406,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100397,BNK00407,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100398,BNK00408,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100399,BNK00409,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100400,BNK00410,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100401,BNK00411,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100402,BNK00412,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100404,BNK00414,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100405,BNK00415,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100406,BNK00416,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100407,BNK00417,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100408,BNK00418,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100409,BNK00419,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100410,BNK00420,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100411,BNK00421,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100412,BNK00422,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100413,BNK00423,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100414,BNK00424,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100415,BNK00425,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100416,BNK00426,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100417,BNK00427,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100418,BNK00428,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100419,BNK00429,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100420,BNK00430,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100421,BNK00431,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100422,BNK00432,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100423,BNK00433,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100424,BNK00434,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100425,BNK00435,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100426,BNK00436,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100427,BNK00437,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100428,BNK00438,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100429,BNK00439,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100430,BNK00440,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100431,BNK00441,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100432,BNK00442,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100434,BNK00445,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100435,BNK00446,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100436,BNK00447,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100437,BNK00448,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100438,BNK00449,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100439,BNK00450,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100440,BNK00451,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100441,BNK00452;BNK00453,llm-stub,0.7,RECONCILED,0.97,"Amount matches net_amount within Rs.1.0 tolerance.; Split across 2 bank rows, within policy limit - sum already checked in amount rule.",False
TXN100442,BNK00454,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100445,BNK00458,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100446,BNK00459,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100447,BNK00460,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100448,BNK00461,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100449,BNK00462,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100451,BNK00464,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100452,BNK00465,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100453,BNK00466,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100454,BNK00467,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100455,BNK00468,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100456,BNK00469,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100457,BNK00470,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100458,BNK00471,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100459,BNK00472,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100460,BNK00473,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100461,BNK00474,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100462,BNK00475,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100463,BNK00476,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100464,BNK00477,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100465,BNK00478,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100466,BNK00479,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100467,BNK00480,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100468,BNK00481,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100469,BNK00482,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100470,BNK00483,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100471,BNK00484,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100472,BNK00485,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100473,BNK00486,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100474,BNK00487,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100476,BNK00489,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100477,BNK00490,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100479,BNK00492,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100480,BNK00493,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100481,BNK00494,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100482,BNK00495,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100483,BNK00496,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100486,BNK00500,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100487,BNK00501,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100488,BNK00502,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100489,BNK00503,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100490,BNK00504,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100491,BNK00505,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100492,BNK00506,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100493,BNK00507,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100494,BNK00508,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100495,BNK00509,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100496,BNK00510,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100497,BNK00511,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100498,BNK00512,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
TXN100499,BNK00513,deterministic,1.0,RECONCILED,0.97,Amount matches net_amount within Rs.1.0 tolerance.,False
